month, avg_closing_price
January,6.15
February,5.89
March,5.7
April,5.56
May,5.33
June,5.42
July,5.23
August,4.84
September,4.72
October,4.86
November,4.86
December,4.75
January,4.82
February,4.61
March,4.4
April,4.46
May,4.45
June,4.2
July,3.75
August,3.68
September,3.48
October,3.68
November,3.88
December,3.9
January,4.01
February,4.16
March,4.37
April,4.16
May,4.05
June,4.37
July,4.77
August,4.84
September,4.65
October,4.64
November,4.72
December,4.5
January,4.65
February,4.92
March,5.1
April,5.28
May,5.39
June,5.19
July,5
August,5.31
September,5.15
October,5.22
November,5.23
December,5.28
January,5.28
February,5.33
March,5.19
April,4.93
May,4.78
June,4.81
July,4.52
August,4.34
September,4.26
October,4.45
November,4.39
December,4.64
January,4.88
February,4.88
March,4.86
April,4.85
May,4.76
June,4.57
July,4.54
August,4.54
September,4.73
October,4.98
November,5.24
December,5.46
January,5.48
February,5.83
March,5.86
April,6.04
May,6.46
June,6.23
July,6.26
August,7.14
September,7.75
October,7.92
November,8.52
December,8.59
January,8.48
February,9.16
March,9.93
April,10.2
May,10.9
June,9.61
July,8.69
August,8.55
September,8.78
October,9.18
November,9.15
December,8.97
January,8.81
February,8.54
March,8.35
April,8.31
May,8.07
June,7.67
July,7.61
August,7.34
September,7.06
October,6.96
November,6.52
December,6.79
January,6.77
February,6.34
March,6.01
April,5.9
May,6.19
June,5.86
July,5.52
August,5.23
September,5.36
October,5.47
November,5.45
December,5.49
January,5.52
February,5.59
March,5.71
